Resolution (Width x Height)    Frames    Runtime (s)
640 x 400                     20        0.004767
800 x 600                     20        0.009176
800 x 600                     30        0.012567
1280 x 720                    30        0.023147
1280 x 720                    40        0.030611
1920 x 1080                   40        0.066461
1920 x 1080                   50        0.084019
2560 x 1440                   50        0.146001
2560 x 1440                   60        0.173624
3200 x 1800                   50        0.226411
3200 x 1800                   60        0.270259
3840 x 2160                   60        0.378230
4096 x 2160                   50        0.342569
4096 x 2160                   60        0.406260
